,description,type,Rent,Rooms,Living space,geometry,Gardens,PubliBike,Park,Public_transport,Year,District,CHF/m2/year
1,"
Schone Kloten 3.5 ZW with cellar and WT. Close z. market
Come and feel at home from day one in this charming 3-room apartment in Zurich. You will love coming home to this tastefully furnished, particularly well thought-out and fully equipped Kloten apartment with a great balcony view of the city of See. (ID",Furnished flat,3694.0,2.0,110.0,POINT (8.4882927 47.3783988),0.0018843691709485592,0.0038134010106209296,6.326413233182007e-05,0.002683912159065836,2012.0,Albisrieden,402.9818181818182
3,"
3-room apartment with internal screed - NO balcony
We are renting a beautiful 3-room apartment in this well-maintained property as of March 1, 2024 with the following features:

- Kitchen with glass ceramic stove (no dishwasher)
- Living area with laminate flooring
- Corridor clinker
- Closet in the entrance area
- Bathroom/WC with window and slab floor
- NO balcony
- NO elevator
- Screed (reduit) approx. 15 m2 (in the apartment)
- Cellar compartment

We cannot offer parking for a vehicle in this apartment. Please note that the pictures only show the standard construction and may differ slightly from the floor plan! No further photos are available. Have we piqued your interest? The apartment can be viewed - without obligation and without prior notice - as follows:

- Thursday, December 7th, 2023 from 4:00 p.m. - 5:00 p.m
- Our caretaker will be happy to welcome you on the 2nd floor.
Read more",Apartment,1620.0,3.0,64.0,POINT (8.5163027 47.4159337),0.0038928741202329926,0.009490025441109924,0.00022688585436135656,0.0031606960328521647,1953.0,Affoltern,303.75
13,"
Right on Weinplatz, attic apartment with terrace and dream view
We rent this beautiful and charming attic apartment in a prime location directly on Weinplatz and in close proximity to the main train station, Bellevue, Limmatquai and Bahnhofstrasse.

The apartment particularly impresses with the following advantages:












Read more",Roof flat,3850.0,2.5,65.0,POINT (8.541318095159816 47.3714844),0.023036102695065702,0.002379828412275097,0.00045142457600903324,0.0007321777722598099,1674.0,Lindenhof,710.7692307692307
14,"
Nice apartment in the beautiful Enge district - limited until September 30, 2024
In a top residential area near Lake Zurich, we are renting this great 3-room apartment in a well-kept property for a limited period until September 30th, 2024.

In addition to the central residential location, this property offers you the following standard of development:

- practical closet in the corridor
- Living room and bedroom with parquet floors
- Living room with access to the larger balcony
- Kitchen and corridor with PVC flooring
- Lockable kitchen with stove
- with oven and large refrigerator
- with access to the small balcony
- Bathroom with bathtub and sink
- separate toilet with washbasin
- Basement and attic compartment

The sample photos show the standard of the apartment and may differ from the actual floor plan.

Unfortunately, there are currently no parking spaces available at this property.

The apartment is centrally located in the middle of the city of Zurich. You can easily reach the train station and the “Enge” bus and tram stop with various lines in different directions on foot. You can reach the surrounding city districts and Zurich main station within a short time!

Optimal shopping opportunities (such as Migros, Coop, pharmacy) as well as numerous service providers are also in the immediate vicinity. The beautiful Lake Zurich, which invites you to swim, walk and relax, is practically on your doorstep. Here you can leave the stressful everyday life behind you!

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2130.0,3.0,81.0,POINT (8.533411497057157 47.3629586),0.020462237893960494,0.0014760413597620144,0.00023088008023576038,0.0016836807898987641,1935.0,Enge,315.55555555555554
17,"
City oasis in a prime location
We rent this beautiful apartment in a top location. The apartment offers you the following standard of development:

- closed kitchen",Apartment,2830.0,3.0,68.0,POINT (8.527902848050783 47.3603449),0.014366048479101558,0.0026745865471495315,0.0007979119140699139,0.001922474401747201,1954.0,Enge,499.4117647058824
26,"
Spacious - close to nature - your new home?
In an idyllic and quiet residential area, we are renting out this charming 3.5-room apartment, which is located in a well-kept property, immediately or by arrangement. In addition to an ideal room layout, this property offers you the following comfort:

- entire apartment with parquet floors
- spacious living/dining area
- open kitchen with granite stone top in anthracite
- with dishwasher and glass ceramic hob
- with refrigerator and freezer drawers
- modern, bright bathroom/toilet with sink base
- separate guest toilet
- Wet cells with slab floors in anthracite
- spacious balcony with a view of the countryside
- useful reduit
- Basement compartment
- Lift available

You can find the exact room layout in the attached floor plan.

If required and available, parking spaces can be rented for CHF 130.00 per month, uncovered parking spaces for CHF 60.00 per month and covered parking spaces for CHF 90.00 per month.

The property is located on the Sonnenhügel in Zurich-Leimbach in an elevated residential area, adjacent to the agricultural zone. Within a short time you will reach the local recreation area, which invites you to take long walks and relax.

Optimal shopping opportunities such as the ""Coop-Center Leimbach"" and the swimming pool ""Wassersportcenter Leimbach"" can be easily reached on foot and are just a stone's throw away from the property.

Furthermore, the “Mittelleimbach” bus station, which is served by bus stations 70 and 151, is in the immediate vicinity. Thanks to the convenient traffic situation, you can reach the city of Zurich in just 20 minutes by car. So you are in the countryside and still centrally located.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,1830.0,3.5,86.0,POINT (8.513736798884615 47.3256324),0.006242810017236511,0.026302630381759395,0.0005002877320643383,0.0012120572464390969,1974.0,Leimbach,255.34883720930233
31,"
Modern apartment in a central location not far from Stettbach train station
The Altwiesen property was rebuilt in 2014 and, in addition to the ultra-modern equipment (Minergie standard, floor heating, high-quality materials) and the excellent infrastructure, offers you the following features:

- Built-in cupboard in the entrance
- spacious and bright living room
- Living room and bedroom with matt oak parquet floors
- open kitchen with modern equipment
- Kitchen and bathroom with stoneware mosaic unglazed matt dark
- with glass ceramic stove
- with dishwasher
- modern bathroom with bathtub
- with its own washing tower
- spacious roof terrace
- Basement compartment
- Elevator

These are sample images that show the standard of construction. Please see the floor plan for the exact room layout.

If required and subject to availability, a parking space can be rented for CHF 140.00 per month.

The versatile Heerenschürli sports facility, jogging trails, the Glatt shopping center, all kinds of services, restaurants and walking paths in the countryside, all of this is not far from your new home.

The Altwiesen property is perfectly located for public transport users: Stettbach S-Bahn station with direct connections to the main train station and Stadelhofen, two tram lines, the Glatttalbahn directly to Zurich Airport, several bus lines, everything can be reached in just a few minutes. Drivers can reach the connection to the motorway in around 5 minutes.

The nearby Glatt shopping center leaves nothing to be desired for shopping. On the way home you can easily stop at Schwamendingerplatz, where you will find all sorts of shopping opportunities and service providers.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2400.0,3.5,90.0,POINT (8.591457523942811 47.400155600000005),0.012243945312285369,0.0033650630421654965,0.0007584089965068254,0.0016081182123229892,2014.0,Hirzenbach,320.0
32,"
Charming city apartment in district 3!
We are renting a cozy city apartment as of April 1st, 2024. This is centrally located in a quiet house. The apartment on the 1st floor with 68sqm impresses with:

- Living/dining area and corridor with parquet
- Bedroom with parquet
- Completed kitchen with usual comfort and stone countertops
- Bathroom with bathtub and plates
- small balcony
- Basement compartment
- Lift available
- no parking spaces/garages

A visit is worth it! We look forward to your registration.

The visit takes place as follows:
- 01/19/2024 / 01/20/2024 / 01/26/2024
- January 19th, 2024 and January 26th, 2024 from 6:00 p.m. to 8:00 p.m
- January 20, 2024 from 10 a.m. to 12 p.m


Please ring Ms. Schlatter's bell (without making an appointment).
Read more",Apartment,1870.0,2.5,68.0,POINT (8.514012599999994 47.37435615),0.00805594375828113,0.00019335754154283847,0.00010522704128373087,0.000724716067482205,1898.0,Sihlfeld,330.0
33,"
Charming cozy apartment near the lake
Nicely renovated cozy apartment in nice area of Seefeld, one of the most popular areas in Zurich near the lake.
Bedsofa, boxspringbed, dish washer and close to tram which takes you to the Opera and Stadelhofen.
Due to construction until March the rent has been lowered.
Fully furnished and equipped.
High-speed internet.
Storage room
\ nNote: Prices and dates shown are not necessarily final and should be used for informational purposes only. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2950.0,7.0,50.0,POINT (8.5598206 47.3554266),0.013899633460957727,0.0041560941798484035,0.00026400753749947003,0.001598821800636953,1917.0,Mühlebach,708.0
35,"
Chic Enge 2 ZW with WT, close to the market
Come and feel at home from day one in this stylish 2-room apartment in Zurich. You will love coming home to this tastefully decorated, well thought out and fully equipped District 2, narrow apartment with breathtaking views of the city of See. (ID",Furnished flat,3069.0,4.0,52.0,POINT (8.526935 47.3542027),0.012149267367838439,0.0017169467864769682,6.136990379447274e-05,0.0009923000513840867,1899.0,Enge,708.2307692307693
37,"
Premium Loft PZ5
Our Premium Loft offers more living space and luxury, which more than meets the demanding design taste. The premium lofts are designed in two different styles and have a warm or cooler interior. The interior design is unique and the materials are very high quality to exclusive. The high, visible concrete ceiling conveys an airy and industrial feeling of space and the wonderful view of the city of Zurich is the highlight of the Premium Lofts.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3963.0,1.0,44.0,POINT (8.4869214 47.3897448),0.007732398713441614,0.002008357608932658,0.0001319427444435852,0.00035926015300393686,1963.0,Altstetten,1080.8181818181818
41,"
Beautiful, spacious apartment in the center of Oerlikon
This bright and spacious apartment offers everything you need: a large balcony, new and contemporary furniture, a good location and all shops and restaurants nearby. Large living room, large bedroom with box spring bed, large wardrobe. Bathroom with bathtub, separate toilet.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3250.0,9.0,75.0,POINT (8.5476674 47.4084919),0.010281531657338725,0.002791136865186917,0.0005177791822672888,0.0019193713533633887,1931.0,Oerlikon,520.0
42,"
Modern 2.5 room apartment in the countryside for rent
As of December 16, 2023 or by arrangement, we are renting this spacious and bright 2.5-room apartment at Hungerbergstrasse 27 in 8046 Zurich Affoltern.

The entire property was completely renovated in 2014. The apartment includes a cellar compartment on the 1st basement and a laundry room and a drying room for shared use.



Read more",Apartment,2300.0,2.5,66.0,POINT (8.501457694784484 47.418697550000005),0.011635966051131895,0.005016909392193568,0.0008234977739709043,0.002397974734618395,1972.0,Affoltern,418.1818181818182
