,description,type,Rent,Rooms,Living space,Complete Address
0,"
Urban apartment in the heart of Kloten, ""limited until September 30th, 2024""
The property is located in a central area in the heart of Kloten. The train station, public transport and shopping opportunities are in the immediate vicinity

This cozy 3.5 maisonette apartment offers you the following comfort:








Read more",Duplex,1786.0,3.5,100.0,"Marktgasse 16, 8302 Kloten"
1,"
Schone Kloten 3.5 ZW with cellar and WT. Close z. market
Come and feel at home from day one in this charming 3-room apartment in Zurich. You will love coming home to this tastefully furnished, particularly well thought-out and fully equipped Kloten apartment with a great balcony view of the city of See. (ID",Furnished flat,3694.0,2.0,110.0,"Flurstrasse, 8000 Zürich"
2,"
Beautiful apartment with a cozy balcony
Immediately",Apartment,1401.0,3.5,69.0,"Grüningerstrasse 6, 8133 Esslingen"
3,"
3-room apartment with internal screed - NO balcony
We are renting a beautiful 3-room apartment in this well-maintained property as of March 1, 2024 with the following features:

- Kitchen with glass ceramic stove (no dishwasher)
- Living area with laminate flooring
- Corridor clinker
- Closet in the entrance area
- Bathroom/WC with window and slab floor
- NO balcony
- NO elevator
- Screed (reduit) approx. 15 m2 (in the apartment)
- Cellar compartment

We cannot offer parking for a vehicle in this apartment. Please note that the pictures only show the standard construction and may differ slightly from the floor plan! No further photos are available. Have we piqued your interest? The apartment can be viewed - without obligation and without prior notice - as follows:

- Thursday, December 7th, 2023 from 4:00 p.m. - 5:00 p.m
- Our caretaker will be happy to welcome you on the 2nd floor.
Read more",Apartment,1620.0,3.0,64.0,"Riedenhaldenstr. 30, 8046 Zürich"
4,"
First rental Kloten - your dream apartment is waiting for you!
www.alte-landstrasse-kloten.ch

Are you longing for a new living space that meets your needs?",Apartment,1655.0,1.5,41.0,"Alte Landstrasse 1/3/5, 8302 Kloten"
5,"
Beautiful living in the attractive Oeggisbüel development!
We are renting this modern and bright 4.5-room apartment in the immediate vicinity of Lake Zurich with immediate effect or by arrangement. The apartment is located in a well-kept, child-friendly and quiet area and offers you, among other things, the following standard of development:

- all living rooms and bedrooms with parquet floors
- renovated, modern kitchen with slab floor
- with granite top and dishwasher
- with glass ceramic stove and oven
- with large refrigerator and freezer drawers
- with access to the small balcony (morning sun)
- modern toilet/bathroom with slab floor
- separate guest toilet with shower
- spacious, comfortable balcony (evening sun)
- Cellar compartment
- Bicycle storage room
- Elevator

The pictures are sample photos of a comparison apartment. Please see the attached floor plan for the exact room layout.

A parking space in the underground car park can be rented for CHF 140.00 per month if required and available.

For families with school-age children, the Oeggisbüel-Oelwiese schoolhouse, where the kindergarten and primary school can be attended, is located in the immediate vicinity. The Feld and Berg secondary schools are a little further in the center.

The ""Thalwil, Rainstrasse"" bus stop, which is served by bus line 142 every half hour, is in the immediate vicinity of the property. You can reach the train station within 10 minutes. You can also cover this route in less than 20 minutes on foot.

Numerous shopping opportunities, as well as various service providers and restaurants that cover your daily needs, can be found in the nearby center of Thalwil. For do-it-yourselfers, there is a Coop Bau and Hobby just outside the center.

You can also easily reach the local recreation area of Lake Zurich, which offers you many opportunities for leisure activities, by bike, car or on foot. In summer there are many swimming options, such as the nearby Bürger I and II seaside resorts.

Are you curious?
Convince yourself of this attractive apartment!

We look forward to hearing from you and receiving your registration form after the viewing.
Read more",Apartment,2750.0,4.5,100.0,"Rainstrasse 7, 8800 Thalwil"
6,"
Family-friendly and rural development in the countryside
In a well-kept property near the green zone and the recreation area, we rent a spacious and bright 5.5-room maisonette apartment with approx. 130 m2 and the following amenities:

1st floor
- Entrée with reduit
- Living/dining room approx. 30 m2
- Exit to balcony with reduit
- open kitchen
- Dishwasher
- Glass ceramic stove
- lots of built-in cupboards
- large bathroom with double washbasin
- two rooms approx. 11 and 16 m2

2nd floor
- Wooden stairs
- two rooms approx. 12 m2 each
- Shower/toilet/lavabo
- Washing tower in apartment
- Screed room approx. 5 m2

The entire apartment has parquet floors. A cellar compartment is allocated to the apartment.

The sample photos only show the standard of the apartment. Please see the floor plan for the exact room layout.

If desired, a parking space can be rented separately for CHF 120.00 per month.

The child-friendly development is located directly on the green zone and the Greifensee local recreation area. Shopping centers and motorway access are nearby. Post office and shopping facilities can be found in the village. With bus number 747 you can reach Klusplatz in Zurich in 10 minutes.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Duplex,2250.0,5.5,129.0,"Studenrain 7, 8122 Binz"
7,"
Modern dream apartment with breathtaking lake views - your new home in Horgen
This unique property is located in one of the most sought-after regions of the canton of ZH, more precisely in Horgen. The charming apartment with 2.5 rooms impresses with its light-flooded rooms, which create a pleasant atmosphere. The spacious living room is always flooded with brightness thanks to the generous windows. The open kitchen offers you plenty of space and freedom for your culinary creations. A large bedroom and a modern bathroom complete the attractiveness of this apartment.






Read more",Apartment,2153.0,2.5,68.0,"Seewartweg 1, 8810 Horgen"
9,"
Rent without deposit - practical single apartment
On Stöcklerstr. 8 in Uster we rent a 1-room apartment with the following advantages:

- Living and dining area with parquet floors
- Kitchen and bathroom with slab floors
- Kitchen with gas stove and oven
- Spacious balcony
- Bus stop in the immediate vicinity
- Parking space can be rented

Photos correspond to the standard.",Apartment,970.0,1.0,32.0,"Stöcklerstr. 8, 8610 Uster"
10,"
Cozy 3.5 room apartment in Bachtelblick
As of December 16, 2023, we are renting this modern 3.5-room apartment on the 2nd floor with comfort",Apartment,1590.0,3.5,78.0,"Langfurrenstrasse 1a, 8623 Wetzikon ZH"
